# Planet Nine Predicted Positions
# Generated on 2025-05-10 09:52:40
# Based on:
#   1983: RA = 35.74075, Dec = -48.51250 (IRAS)
#   2006: RA = 35.18379, Dec = -49.21350 (AKARI)
# Motion rates: RA = -0.024216 deg/yr, Dec = -0.030478 deg/yr
# Time to cross 0.40° field: 10.28 years
#
# Year       RA (deg)      Dec (deg)
# -----      --------      ---------
1983.0     35.74075        -48.51250      
1984.0     35.71653        -48.54298      
1985.0     35.69232        -48.57346      
1986.0     35.66810        -48.60393      
1987.0     35.64389        -48.63441      
1988.0     35.61967        -48.66489      
1989.0     35.59546        -48.69537      
1990.0     35.57124        -48.72585      
1991.0     35.54702        -48.75633      
1992.0     35.52281        -48.78680      
1993.0     35.49859        -48.81728      
1994.0     35.47438        -48.84776      
1995.0     35.45016        -48.87824      
1996.0     35.42595        -48.90872      
1997.0     35.40173        -48.93920      
1998.0     35.37752        -48.96967      
1999.0     35.35330        -49.00015      
2000.0     35.32908        -49.03063      
2001.0     35.30487        -49.06111      
2002.0     35.28065        -49.09159      
2003.0     35.25644        -49.12207      
2004.0     35.23222        -49.15254      
2005.0     35.20801        -49.18302      
2006.0     35.18379        -49.21350      
2007.0     35.15957        -49.24398      
2008.0     35.13536        -49.27446      
2009.0     35.11114        -49.30493      
2010.0     35.08693        -49.33541      
2011.0     35.06271        -49.36589      
2012.0     35.03850        -49.39637      
2013.0     35.01428        -49.42685      
2014.0     34.99006        -49.45733      
2015.0     34.96585        -49.48780      
2016.0     34.94163        -49.51828      
2017.0     34.91742        -49.54876      
2018.0     34.89320        -49.57924      
2019.0     34.86899        -49.60972      
2020.0     34.84477        -49.64020      
2021.0     34.82056        -49.67067      
2022.0     34.79634        -49.70115      
2023.0     34.77212        -49.73163      
2024.0     34.74791        -49.76211      
2025.0     34.72369        -49.79259      
